product,ema_window,horizon,bucket,residual_mean,future_change_mean,future_change_median,count
VEV_5000,15,1,0,-0.6341700842924982,0.4641305933781853,0.4594297327939785,5980
VEV_5000,15,1,1,-0.2109529708177707,0.1931421524399923,0.05622990504161862,5979
VEV_5000,15,1,2,-0.02674908221985111,0.036411766361721755,0.0006669000376859913,5980
VEV_5000,15,1,3,0.16433028762968294,-0.1401829477151578,-0.05397524912041263,5979
VEV_5000,15,1,4,0.7088181357176185,-0.5533981060340503,-0.4843058240458049,5980
VEV_5000,20,1,0,-0.6393151920100998,0.46860393602032124,0.4624399480098873,5980
VEV_5000,20,1,1,-0.2097593722915091,0.19492239473222078,0.05790216102650447,5979
VEV_5000,20,1,2,-0.026703581571116828,0.03451855871425685,0.0006021275198691001,5980
VEV_5000,20,1,3,0.16302906268224118,-0.14226535350197428,-0.054994487099065736,5979
VEV_5000,20,1,4,0.7145284083695429,-0.5556761280631457,-0.4858384477420259,5980
VEV_5000,25,1,0,-0.64530035419901,0.47127278128153505,0.46301605837970783,5980
VEV_5000,25,1,1,-0.20922403596916425,0.1914215406106741,0.05856127399874822,5979
VEV_5000,25,1,2,-0.02619839077335839,0.03767917891197755,0.0006176793294798699,5980
VEV_5000,25,1,3,0.16288726073491924,-0.14713646875833858,-0.057153386914251314,5979
VEV_5000,25,1,4,0.7201013654774743,-0.5531350241390486,-0.4861847264091921,5980
VEV_5000,30,1,0,-0.6511328738181499,0.468628192236452,0.4628933582389436,5980
VEV_5000,30,1,1,-0.2088952994836131,0.19432156657434962,0.05831220515210589,5979
VEV_5000,30,1,2,-0.02587258215950049,0.03785737264926887,0.0005403646896411374,5980
VEV_5000,30,1,3,0.16293834346447691,-0.14534926817277477,-0.057711863583790546,5979
VEV_5000,30,1,4,0.7256853951284638,-0.5553550715633474,-0.49011758156302676,5980
VEV_5000,35,1,0,-0.6566603229272547,0.4687215345955608,0.4630808167944451,5980
VEV_5000,35,1,1,-0.2086685980864472,0.1968442875210636,0.05956554458862229,5979
VEV_5000,35,1,2,-0.02559043109294886,0.03363250128743882,0.0004247377032697841,5980
VEV_5000,35,1,3,0.16345755685572344,-0.14728049033452964,-0.05865806760357373,5979
VEV_5000,35,1,4,0.7306119373452198,-0.551814942432745,-0.4891935774999183,5980
VEV_5000,40,1,0,-0.6617691086709431,0.46926674881305974,0.46332517849077703,5980
VEV_5000,40,1,1,-0.2083927355160357,0.19864673437791822,0.06048556847508735,5979
VEV_5000,40,1,2,-0.025276243944618356,0.03065278167984135,0.00037443055862240726,5980
VEV_5000,40,1,3,0.16385718437593835,-0.14471557504539803,-0.05901913125489955,5979
VEV_5000,40,1,4,0.735132294244642,-0.5537470688605146,-0.4903597573825209,5980
VEV_5000,45,1,0,-0.6662889205030628,0.472377375069761,0.4640397650118757,5980
VEV_5000,45,1,1,-0.20833801750653333,0.198782302413978,0.060566560176994244,5979
VEV_5000,45,1,2,-0.02483672860056461,0.025609780175348176,0.0002967638988593535,5980
