product,ema_window,horizon,n,alpha,beta,corr,t_beta,r2,mean_reversion_score
VEV_5000,15,1,29898,0.00017158858511418453,-0.5944191202133312,-0.5265025995903448,-107.07781207662939,0.27720498737539145,0.5944191202133312
VEV_5000,20,1,29898,0.00022275658703373622,-0.5702442334927263,-0.5176976468213464,-104.6237813785045,0.2680108535243597,0.5702442334927263
VEV_5000,25,1,29898,0.0002692534287886897,-0.550482968276344,-0.5101803925627035,-102.56467529435085,0.2602840329554347,0.550482968276344
VEV_5000,30,1,29898,0.00031062349760203374,-0.5340858336663119,-0.5037300034436982,-100.82318657149014,0.2537439163693883,0.5340858336663119
VEV_5000,35,1,29898,0.0003475440694854712,-0.5203155622327151,-0.49817311412295323,-99.34107735905187,0.24817645163496127,0.5203155622327151
VEV_5000,40,1,29898,0.00038097906907863364,-0.5086395051670785,-0.4933686282239274,-98.07278805216967,0.24341260331556058,0.5086395051670785
VEV_5000,45,1,29898,0.00041177054246520437,-0.4986544778686912,-0.48919735516661716,-96.98128763904344,0.2393140523020133,0.4986544778686912
VEV_5000,50,1,29898,0.00044051938305861635,-0.49004722088873415,-0.4855583901736336,-96.03622883075721,0.23576695026801064,0.49004722088873415
VEV_5000,55,1,29898,0.0004675989888887216,-0.4825711950981821,-0.48236710425586504,-95.21281529021748,0.23267802326818854,0.4825711950981821
VEV_5000,60,1,29898,0.0004932119414993478,-0.4760309192153135,-0.4795531638735207,-94.49086597435752,0.229971236981104,0.4760309192153135
VEV_5000,65,1,29898,0.0005174491294894741,-0.47027046329017974,-0.4770584468943789,-93.85398469453953,0.22758476175327758,0.47027046329017974
VEV_5000,15,2,29897,0.0002048060694145479,-0.6182483921871007,-0.5221189199711619,-105.84844918854832,0.27260816659185283,0.6182483921871007
VEV_5000,20,2,29897,0.0002600618925083466,-0.5970746796186205,-0.5168230993265723,-104.38080605421783,0.2671061159975239,0.5970746796186205
VEV_5000,25,2,29897,0.00031013714649704067,-0.5792947716429925,-0.5118907512888812,-103.02860943244539,0.26203214125509466,0.5792947716429925
VEV_5000,30,2,29897,0.0003546271174492062,-0.5642657954350933,-0.5074210259694398,-101.81517656193245,0.25747609759587775,0.5642657954350933
VEV_5000,35,2,29897,0.00039433185954376726,-0.5514872718046074,-0.5034394989274578,-100.743608363128,0.2534513290803293,0.5514872718046074
VEV_5000,40,2,29897,0.00043032709686924287,-0.5405627545103795,-0.49992665384286605,-99.80532332129309,0.2499266592225251,0.5405627545103795
VEV_5000,45,2,29897,0.00046353242266956385,-0.5311691606747909,-0.49683978562934294,-98.9862424991767,0.2468497725842116,0.5311691606747909
VEV_5000,50,2,29897,0.000494593471203725,-0.5230419605792007,-0.49412813176922527,-98.27084105466963,0.2441626106057444,0.5230419605792007
VEV_5000,55,2,29897,0.0005239041554720561,-0.5159654066529931,-0.4917413589416191,-97.64429296431977,0.24180956409375054,0.5159654066529931
