product,day_num,timestamp,combined_timestamp,x_t,x_t1,x_t2
VEV_5000,0,200,200,-0.9995765870835384,0.000251616422247,-0.5385987475474394
VEV_5000,0,300,300,-0.4994047914915427,-0.9995765870835384,0.000251616422247
VEV_5000,0,400,400,-0.9992329968026752,-0.4994047914915427,-0.9995765870835384
VEV_5000,0,500,500,-0.0766050351630838,-0.9992329968026752,-0.4994047914915427
VEV_5000,0,600,600,-0.1547490984212345,-0.0766050351630838,-0.9992329968026752
VEV_5000,0,700,700,-0.1545748645557978,-0.1547490984212345,-0.0766050351630838
VEV_5000,0,800,800,-0.2334963993171186,-0.1545748645557978,-0.1547490984212345
VEV_5000,0,900,900,-0.313203341604094,-0.2334963993171186,-0.1545748645557978
VEV_5000,0,1000,1000,-0.3130266467296678,-0.313203341604094,-0.2334963993171186
VEV_5000,0,1100,1100,-0.1538779379825428,-0.3130266467296678,-0.313203341604094
VEV_5000,0,1200,1200,-0.1537037085599877,-0.1538779379825428,-0.3130266467296678
VEV_5000,0,1300,1300,-0.2326191020674741,-0.1537037085599877,-0.1538779379825428
VEV_5000,0,1400,1400,-0.2324436452627196,-0.2326191020674741,-0.1537037085599877
VEV_5000,0,1500,1500,-0.3121431854679031,-0.2324436452627196,-0.2326191020674741
VEV_5000,0,1600,1600,0.1477990747662261,-0.3121431854679031,-0.2324436452627196
VEV_5000,0,1700,1700,0.1479763828392606,0.1477990747662261,-0.3121431854679031
VEV_5000,0,1800,1800,-0.3116131192045941,0.1479763828392606,0.1477990747662261
VEV_5000,0,1900,1900,-0.7714025048762778,-0.3116131192045941,0.1479763828392606
VEV_5000,0,2000,2000,-0.2313909229469573,-0.7714025048762778,-0.3116131192045941
VEV_5000,0,2100,2100,-0.7710503694570434,-0.2313909229469573,-0.7714025048762778
VEV_5000,0,2200,2200,-0.770874303067103,-0.7710503694570434,-0.2313909229469573
VEV_5000,0,2300,2300,-0.2308645736929975,-0.770874303067103,-0.7710503694570434
VEV_5000,0,2400,2400,-0.651613024818289,-0.2308645736929975,-0.770874303067103
VEV_5000,0,2500,2500,-0.2305136785989816,-0.651613024818289,-0.2308645736929975
VEV_5000,0,2600,2600,-0.3101996476507338,-0.2305136785989816,-0.651613024818289
