product,ema_window,horizon,n,alpha,beta,corr,t_beta,r2,mean_reversion_score
VEV_5000,15,1,29999,-7.957788861052799e-05,-1.0657060717261508,-0.6825903265591012,-161.7706639073782,0.46592955391205926,1.0657060717261508
VEV_5000,20,1,29999,-9.584105535164215e-05,-1.045109060347093,-0.6873565930735461,-163.90527869694017,0.4724590860416722,1.045109060347093
VEV_5000,25,1,29999,-0.0001157132148519051,-1.032386217318487,-0.690037854875783,-165.12365109014684,0.4761522411615724,1.032386217318487
VEV_5000,30,1,29999,-0.0001390500155716998,-1.0234731560419257,-0.6916538607976146,-165.864218740731,0.47838506315624385,1.0234731560419257
VEV_5000,35,1,29999,-0.0001653696248656631,-1.0166931516794309,-0.692652652505912,-166.32431959036498,0.479767697023476,1.0166931516794309
VEV_5000,40,1,29999,-0.00019417736366355605,-1.0112275449273085,-0.6932617494844766,-166.60580651826373,0.4806118532982758,1.0112275449273085
VEV_5000,45,1,29999,-0.00022505298625686367,-1.0066291746240672,-0.6936090144513725,-166.7665983440211,0.48109346492820615,1.0066291746240672
VEV_5000,50,1,29999,-0.00025765768147784974,-1.002633402283351,-0.6937719429590895,-166.84211525085033,0.4813195088372295,1.002633402283351
VEV_5000,55,1,29999,-0.0002917184091457527,-0.9990738814218344,-0.693800340333495,-166.85528240664235,0.4813589122468743,0.9990738814218344
VEV_5000,60,1,29999,-0.00032700952403644907,-0.9958410200520366,-0.6937277524348804,-166.8216281883524,0.48125819449835305,0.9958410200520366
VEV_5000,65,1,29999,-0.0003633378599872954,-0.9928598453646174,-0.6935776576747149,-166.75207022761262,0.48104996722554283,0.9928598453646174
VEV_5000,15,2,29998,-0.00010487942001231789,-1.0631207917547527,-0.6814336242667622,-161.25582092165445,0.4643517842813346,1.0631207917547527
VEV_5000,20,2,29998,-0.00012091838961455603,-1.0426409805594619,-0.6862359300433638,-163.39710261527816,0.47091975168248024,1.0426409805594619
VEV_5000,25,2,29998,-0.0001409501027454125,-1.0299895029624535,-0.6889407494525546,-164.62082654127698,0.47463935625624876,1.0299895029624535
VEV_5000,30,2,29998,-0.00016461802567513438,-1.0211252300494333,-0.6905736554133678,-165.36591074235614,0.4768919735509811,1.0211252300494333
VEV_5000,35,2,29998,-0.0001913341304765373,-1.0143811125153177,-0.6915852664827278,-165.82992319898815,0.47829018081598607,1.0143811125153177
VEV_5000,40,2,29998,-0.00022055191894124334,-1.0089432674503864,-0.6922044496866768,-166.11485609200693,0.4791470001660352,1.0089432674503864
VEV_5000,45,2,29998,-0.000251826573433998,-1.0043671970774213,-0.6925598696421913,-166.27872955011077,0.47963917303880765,1.0043671970774213
VEV_5000,50,2,29998,-0.0002848082391639741,-1.0003898830262914,-0.6927295427271606,-166.3570427352752,0.4798742193669796,1.0003898830262914
VEV_5000,55,2,29998,-0.0003192194711909198,-0.9968460281180392,-0.6927636322454539,-166.37278327227438,0.4799214501619148,0.9968460281180392
