t_global,day,timestamp,a,b,c_baseIV,resid_std,n,S,TTE
0.0,0,0,311.7403377525775,-27.76652529218222,0.27877478878623446,0.851192954191914,10,5250.0,8.0
100.0,0,100,327.5683797212261,-15.08206690082066,-0.2159287151105449,0.6039509101198101,10,5250.5,7.9999
200.0,0,200,321.14479110115013,-20.222052240567475,-0.015532520105937066,0.23482254810774475,9,5250.5,7.9998
300.0,0,300,321.1345102456874,-20.222322056841033,-0.015493552673883988,0.23477761491969276,9,5250.5,7.9997
400.0,0,400,321.13676688802263,-20.22179749366616,-0.015532364892899473,0.2348225269718119,9,5250.5,7.9996
500.0,0,500,321.12660006789633,-20.265399389650298,-0.014118709313279094,0.23473049148977776,9,5249.5,7.9995
600.0,0,600,321.1251918900022,-20.30817185789959,-0.012752791930054833,0.23475700895546794,9,5248.5,7.9994
700.0,0,700,321.1211798509725,-20.308043930730012,-0.012752713788326563,0.2347569986007769,9,5248.5,7.9993
800.0,0,800,321.1197746287689,-20.350933536862836,-0.011386396961074737,0.23476529206214355,9,5247.5,7.9992
900.0,0,900,321.11732409846053,-20.39383386411725,-0.010008618962747904,0.2347760953907124,9,5246.5,7.9991
1000.0,0,1000,2.577299693772164,0.014304514754392705,0.012169063870640009,0.00031532968095388577,8,5247.5,7.999
1100.0,0,1100,327.5315593234161,-15.16877667191285,-0.21389110783029794,0.6039660627466974,10,5248.5,7.9989
1200.0,0,1200,321.1011186017249,-20.307404415306856,-0.01275232488963116,0.23475694408923073,9,5248.5,7.9988
1300.0,0,1300,311.6834922379059,-27.869054098564384,0.28352961671598303,0.8511724950736871,10,5247.5,7.9987
1400.0,0,1400,321.0957011979679,-20.350164470128774,-0.011385930655424602,0.23476522755249493,9,5247.5,7.9986
1500.0,0,1500,321.09325036245156,-20.393063205687437,-0.010008153373167445,0.23477603005800904,9,5246.5,7.9985
1600.0,0,1600,-13.222009260489612,-12.649080436932733,0.5101642159098513,1.383409213623818,10,5246.0,7.9984
1700.0,0,1700,311.6681432191363,-27.9311503210667,0.28637002507085985,0.8511665750955945,10,5246.0,7.9983
1800.0,0,1800,321.08121396362515,-20.392677814082873,-0.010007920156297194,0.23477599791511589,9,5246.5,7.9982
1900.0,0,1900,678.0258122464828,-45.0721784200179,0.030911137993001464,0.5374305675798782,9,5247.0,7.9981
2000.0,0,2000,321.06611909014663,-20.34960161782812,-0.011351034931367287,0.23475702583842611,9,5247.5,7.998
2100.0,0,2100,678.0088576933342,-45.07161254773946,0.0309112901954817,0.5374305409384978,9,5247.0,7.9979
2200.0,0,2200,678.0003793582381,-45.07132965356357,0.030911366529840903,0.5374305280990057,9,5247.0,7.9978
2300.0,0,2300,327.484379997893,-15.211500973722295,-0.21286698818529162,0.6039718921377232,10,5247.5,7.9977
2400.0,0,2400,321.05900968102617,-20.305488484012223,-0.012788909123200666,0.2348000813262265,9,5248.5,7.9976
2500.0,0,2500,321.05156633527616,-20.348754465482926,-0.011385075683946031,0.23476510870877149,9,5247.5,7.9975
2600.0,0,2600,327.47695936881144,-15.254943928174095,-0.21185539371185397,0.6039798041288004,10,5246.5,7.9974
2700.0,0,2700,321.0451031673505,-20.391521752602504,-0.010007220814748032,0.23477590163852605,9,5246.5,7.9973
2800.0,0,2800,321.04157715697124,-20.434467094899514,-0.008620914811219,0.23478789699745214,9,5245.5,7.9972
2900.0,0,2900,2.502040870502642,0.02095403075273795,0.01207700889559559,0.00030474076169894227,8,5246.5,7.9971
3000.0,0,3000,327.4575745237809,-15.29851068193506,-0.21079558294218914,0.6039934274886055,10,5245.5,7.997
3100.0,0,3100,321.0290545301946,-20.39100787503672,-0.01000691025879659,0.23477585807455797,9,5246.5,7.9969
3200.0,0,3200,327.45193203127144,-15.298335547455032,-0.21081237743647427,0.6039867241385406,10,5245.5,7.9968
3300.0,0,3300,-13.218377891242591,-12.6456765829096,0.511020046458785,1.3834125857731976,10,5245.0,7.9967
3400.0,0,3400,327.44328810769593,-15.342016451853361,-0.20976366334569782,0.6039993389603321,10,5244.5,7.9966
3500.0,0,3500,327.4391959291799,-15.341919737251738,-0.20976357553323532,0.6039993090563431,10,5244.5,7.9965
3600.0,0,3600,327.4401263221452,-15.38567787152162,-0.20874674092077666,0.6040014758643034,10,5243.5,7.9964
3700.0,0,3700,321.00711081575605,-20.47634366678364,-0.007236741761620824,0.23479872378731173,9,5244.5,7.9963
3800.0,0,3800,2.9767532096918394,-0.0238461280345144,0.012732068478365883,0.0005873263028415011,10,5242.5,7.9962
3900.0,0,3900,-13.2121443948759,-12.641138008489124,0.512700616889764,1.3834256764423505,10,5243.0,7.9961
