t_global,day,timestamp,a,b,c_baseIV,resid_std,n,S,TTE
0.0,0,0,-0.17723470542159422,0.0009413419566836122,0.012588289156088384,4.088525487862743e-05,6,5250.0,8.0
100.0,0,100,0.07194171606163888,-0.004188425529106418,0.012624020053244558,4.923443017275991e-05,6,5250.5,7.9999
200.0,0,200,-0.8085169239848554,0.004660908626184623,0.012668196644943156,3.154041772233245e-05,6,5250.5,7.9998
300.0,0,300,-0.36083796815025077,0.0001613624029540081,0.012645853886096741,1.785071088758949e-05,6,5250.5,7.9997
400.0,0,400,-0.8085081216922698,0.004660911292827103,0.012668355231115185,3.1540935746154546e-05,6,5250.5,7.9996
500.0,0,500,0.33233856082606156,-0.004318606018967744,0.012562781521625788,1.82749913601739e-05,6,5249.5,7.9995
600.0,0,600,0.34299749111757416,-0.0009304251484384943,0.012562697328311598,3.589602267846394e-05,6,5248.5,7.9994
700.0,0,700,0.3429956139560652,-0.0009304182561978274,0.012562775878843467,3.5896254645908184e-05,6,5248.5,7.9993
800.0,0,800,0.2450724161537251,-0.00015396075986115379,0.01257199634542045,2.561430749354579e-05,6,5247.5,7.9992
900.0,0,900,0.33793010738042467,0.0013887279452028424,0.012565128602182575,2.321155072331245e-05,6,5246.5,7.9991
1000.0,0,1000,-0.5761575352494412,0.010526979720446012,0.012587255428064343,4.876131552891849e-05,6,5247.5,7.999
1100.0,0,1100,0.061433626156558695,-0.0018005876863422593,0.012629573861619225,2.961339644931011e-05,6,5248.5,7.9989
1200.0,0,1200,0.3429851995606781,-0.0009304224965634828,0.012563168521796866,3.5897470691628115e-05,6,5248.5,7.9988
1300.0,0,1300,0.05656880990873214,-0.0013415216168334452,0.012631546019471676,3.398883125906214e-05,6,5247.5,7.9987
1400.0,0,1400,0.24506258525009147,-0.00015395478868983543,0.012572467849240241,2.561536576700503e-05,6,5247.5,7.9986
1500.0,0,1500,0.3379175342546506,0.0013887348745504622,0.012565599931625508,2.3212426258587615e-05,6,5246.5,7.9985
1600.0,0,1600,0.6201949532293457,-0.0017404671755965211,0.012578446964132428,2.532837883520967e-05,6,5246.0,7.9984
1700.0,0,1700,0.6201909820686927,-0.0017404534130686477,0.012578525623515682,2.5328439042996795e-05,6,5246.0,7.9983
1800.0,0,1800,0.33791103992161325,0.0013887234958945486,0.012565835575995317,2.3212834991032647e-05,6,5246.5,7.9982
1900.0,0,1900,-0.37346007338335513,0.004152912598553501,0.012652778998490453,5.8208231559301006e-05,6,5247.0,7.9981
2000.0,0,2000,0.05656476580479932,-0.001341500889156889,0.01263209881186611,3.399028421181833e-05,6,5247.5,7.998
2100.0,0,2100,-0.37345483368397864,0.004152906550961368,0.012652937086504057,5.820896871246081e-05,6,5247.0,7.9979
2200.0,0,2200,-0.3734519168503805,0.004152924573165664,0.01265301618786909,5.820942049023273e-05,6,5247.0,7.9978
2300.0,0,2300,0.056564351101316905,-0.0013415011113621768,0.012632335728176701,3.399094995624083e-05,6,5247.5,7.9977
2400.0,0,2400,-0.08821719374964201,0.0035200510980596877,0.012585120666623643,4.161424149904307e-05,6,5248.5,7.9976
2500.0,0,2500,0.24504458331448148,-0.00015396275184615597,0.01257333260881595,2.5616980466123062e-05,6,5247.5,7.9975
2600.0,0,2600,0.20328620079308754,0.001736103850626568,0.012598872597167224,3.0165939027353444e-05,6,5246.5,7.9974
2700.0,0,2700,0.33789229093419865,0.0013887277260264536,0.012566542652136492,2.321406978325853e-05,6,5246.5,7.9973
2800.0,0,2800,0.10857263360938073,0.0025463645799271104,0.012606854621973244,4.857690531324285e-05,6,5245.5,7.9972
2900.0,0,2900,-0.47311982127363195,0.018995917710702626,0.012477118771520676,7.892296890574458e-05,6,5246.5,7.9971
3000.0,0,3000,0.016836684249632496,0.0025325381733359194,0.012657970846408089,3.675812748623638e-05,6,5245.5,7.997
3100.0,0,3100,0.3378835849339836,0.0013887252858584584,0.012566856898383941,2.3214721544971746e-05,6,5246.5,7.9969
3200.0,0,3200,0.05496509521727562,0.0010585425158127334,0.01263391192751588,6.0212255139035264e-05,6,5245.5,7.9968
3300.0,0,3300,0.6174574365269123,-0.001346337351797842,0.012580416733471472,4.807812454977429e-05,6,5245.0,7.9967
3400.0,0,3400,0.01577625239602304,0.0030115266656821228,0.012658227163539388,8.110109544191904e-05,6,5244.5,7.9966
3500.0,0,3500,0.0157763651009247,0.00301152507631681,0.012658306280122511,8.110155188201621e-05,6,5244.5,7.9965
3600.0,0,3600,0.05957416943100503,0.003458427921416935,0.012632450504649383,9.71195319826323e-05,6,5243.5,7.9964
3700.0,0,3700,0.2039840736218683,0.004096560915362038,0.012599359682640632,4.6144196707969836e-05,6,5244.5,7.9963
3800.0,0,3800,1.0534413904988473,-0.013822077186854572,0.012760817390495274,2.0209735215919743e-05,6,5242.5,7.9962
3900.0,0,3900,0.22917297766660988,-0.0032039996812572792,0.012599064118978189,3.281137361201189e-05,6,5243.0,7.9961
4000.0,0,4000,0.09997143491289054,-0.0008588779936792915,0.012629597513334532,2.204654830504961e-05,6,5242.0,7.996
4100.0,0,4100,-0.11846074652629011,-0.004550254880513768,0.012591216417296247,3.690134423195121e-05,6,5241.5,7.9959
4200.0,0,4200,-0.16734655530606793,-0.005004936499170189,0.012616691826282122,2.9977120624885363e-05,6,5241.0,7.9958
4300.0,0,4300,-0.39548076423124606,-0.000341572768528716,0.012576832429624,3.8245387805690756e-05,6,5241.5,7.9957
4400.0,0,4400,-0.5580872833436346,0.0041537587238219716,0.012628172182439413,4.8204910579821175e-05,6,5239.5,7.9956
4500.0,0,4500,-0.10199548761559224,-0.001171993449444895,0.012584594509226627,3.544490678300269e-05,6,5239.0,7.9955
4600.0,0,4600,-0.46628534876192795,0.004016390332821157,0.012577211355735918,3.8656517559985e-05,6,5239.5,7.9954
4700.0,0,4700,-0.0845988475531821,0.002250199503405621,0.012579331000831214,1.774796198166552e-05,6,5238.0,7.9953
4800.0,0,4800,0.0457791420842009,0.000782026554569242,0.01254909993139594,2.700338376089983e-05,6,5238.5,7.9952
