day,timestamp,t_global,product,K,S,V,TTE,log_mny,m,iv
0,0,0.0,VEV_5000,5000,5250.0,257.0,8.0,-0.048790164169432056,-0.01724992796970516,0.012527060283324683
0,0,0.0,VEV_5100,5100,5250.0,171.5,8.0,-0.028987536873252298,-0.010248641946485894,0.012564905565453225
0,0,0.0,VEV_5200,5200,5250.0,101.5,8.0,-0.009569451016150672,-0.003383311852876319,0.012521795505692717
0,0,0.0,VEV_5300,5300,5250.0,53.0,8.0,0.009478743954543739,0.0033512420636944346,0.012664314986107636
0,0,0.0,VEV_5400,5400,5250.0,23.0,8.0,0.028170876966696224,0.009959909067561409,0.012555959808966143
0,0,0.0,VEV_5500,5500,5250.0,8.5,8.0,0.04652001563489291,0.016447309258168494,0.012553742141439578
0,100,100.0,VEV_5000,5000,5250.5,258.0,7.9999,-0.048885397729810647,-0.01728370614137624,0.01276514697354287
0,100,100.0,VEV_5100,5100,5250.5,172.0,7.9999,-0.029082770433630944,-0.010282376359709113,0.012589140422444326
0,100,100.0,VEV_5200,5200,5250.5,102.5,7.9999,-0.009664684576529373,-0.0034170033573842004,0.012643863260373474
0,100,100.0,VEV_5300,5300,5250.5,53.0,7.9999,0.009383510394165096,0.0033175926505431596,0.01262934452285408
0,100,100.0,VEV_5400,5400,5250.5,23.5,7.9999,0.028075643406317744,0.009926300958966195,0.012644645264657448
0,100,100.0,VEV_5500,5500,5250.5,8.5,7.9999,0.04642478207451416,0.016413741696204503,0.012534730735467747
0,200,200.0,VEV_5000,5000,5250.5,257.0,7.9998,-0.048885397729810647,-0.017283814166902684,0.012318041917588564
0,200,200.0,VEV_5100,5100,5250.5,172.0,7.9998,-0.029082770433630944,-0.010282440625967186,0.012589219001214952
0,200,200.0,VEV_5200,5200,5250.5,102.5,7.9998,-0.009664684576529373,-0.003417024714122363,0.012643942421209068
0,200,200.0,VEV_5300,5300,5250.5,53.0,7.9998,0.009383510394165096,0.003317613385950813,0.01262942339265719
0,200,200.0,VEV_5400,5400,5250.5,23.5,7.9998,0.028075643406317744,0.009926362999704333,0.012644724134460557
0,200,200.0,VEV_5500,5500,5250.5,8.5,7.9998,0.04642478207451416,0.016413844284334223,0.012534808732173407
0,300,300.0,VEV_5000,5000,5250.5,257.5,7.9997,-0.048885397729810647,-0.017283922194454675,0.012545496027043556
0,300,300.0,VEV_5100,5100,5250.5,172.0,7.9997,-0.029082770433630944,-0.010282504893430293,0.012589297871018063
0,300,300.0,VEV_5200,5200,5250.5,102.5,7.9997,-0.009664684576529373,-0.003417046071260978,0.012644021291012178
0,300,300.0,VEV_5300,5300,5250.5,53.0,7.9997,0.009383510394165096,0.003317634121747268,0.012629502553492785
0,300,300.0,VEV_5400,5400,5250.5,23.5,7.9997,0.028075643406317744,0.00992642504160577,0.01264480329529615
0,300,300.0,VEV_5500,5500,5250.5,8.5,7.9997,0.04642478207451416,0.016413946874387533,0.012534886728879065
0,400,400.0,VEV_5000,5000,5250.5,257.0,7.9996,-0.048885397729810647,-0.017284030224032278,0.01231819558274001
0,400,400.0,VEV_5100,5100,5250.5,172.0,7.9996,-0.029082770433630944,-0.01028256916209847,0.012589376740821171
0,400,400.0,VEV_5200,5200,5250.5,102.5,7.9996,-0.009664684576529373,-0.003417067428800058,0.012644100451847773
0,400,400.0,VEV_5300,5300,5250.5,53.0,7.9996,0.009383510394165096,0.0033176548579325377,0.012629581423295896
0,400,400.0,VEV_5400,5400,5250.5,23.5,7.9996,0.028075643406317744,0.00992648708467055,0.012644882456131745
0,400,400.0,VEV_5500,5500,5250.5,8.5,7.9996,0.04642478207451416,0.0164140494663645,0.01253496530764969
0,500,500.0,VEV_5000,5000,5249.5,257.0,7.9995,-0.04869492153875851,-0.01721679264787865,0.01272866430550348
0,500,500.0,VEV_5100,5100,5249.5,171.5,7.9995,-0.028892294242578814,-0.010215287824214858,0.012660102872969582
0,500,500.0,VEV_5200,5200,5249.5,101.5,7.9995,-0.009474208385477242,-0.0033497431789827154,0.012576052109582814
0,500,500.0,VEV_5300,5300,5249.5,52.0,7.9995,0.009573986585217227,0.003385021202263534,0.012525507916056083
0,500,500.0,VEV_5400,5400,5249.5,23.0,7.9995,0.028266119597369875,0.009993894736655604,0.012581317760312231
0,500,500.0,VEV_5500,5500,5249.5,8.5,7.9995,0.04661525826556629,0.016481497668022073,0.012573221527645364
0,600,600.0,VEV_5000,5000,5248.5,256.0,7.9994,-0.04850440905961493,-0.01714954140161125,0.012691910395189188
0,600,600.0,VEV_5100,5100,5248.5,170.5,7.9994,-0.028701781763435325,-0.010147992815396904,0.012611574952490628
0,600,600.0,VEV_5200,5200,5248.5,100.5,7.9994,-0.009283695906333732,-0.003282405257426368,0.012507797716319324
0,600,600.0,VEV_5300,5300,5248.5,52.0,7.9994,0.009764499064360867,0.0034524012191229116,0.012595273058942985
0,600,600.0,VEV_5400,5400,5248.5,23.0,7.9994,0.028456632076513312,0.010061316061943546,0.012631289492943322
