alpha8,alpha9,alpha10,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
70,70,80,56911.1,20,56996,56585,89.51324512401057
70,75,80,56911.1,20,56996,56585,89.51324512401057
70,80,80,56911.1,20,56996,56585,89.51324512401057
70,70,75,56904.55,20,56988,56571,91.07629826285103
70,75,75,56904.55,20,56988,56571,91.07629826285103
65,70,75,56856.05,20,56950,56684,69.19041232638041
65,75,75,56856.05,20,56950,56684,69.19041232638041
65,70,80,56855.1,20,56947,56678,68.38043733792493
65,75,80,56855.1,20,56947,56678,68.38043733792493
65,80,80,56855.1,20,56947,56678,68.38043733792493
65,65,75,56851.25,20,56950,56660,73.70915461246115
65,65,80,56851.25,20,56947,56655,72.87471224101338
75,75,80,56832.25,20,56890,56555,75.16079255065063
75,80,80,56832.25,20,56890,56555,75.16079255065063
75,75,75,56800.15,20,56860,56525,73.08414400718611
