alpha4,alpha5,alpha6,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
0,0,10,56947.73333333333,15,56996,56844,45.41942106108619
0,5,10,56947.73333333333,15,56996,56844,45.41942106108619
0,10,10,56947.73333333333,15,56996,56844,45.41942106108619
5,5,10,56947.73333333333,15,56996,56844,45.41942106108619
5,10,10,56947.73333333333,15,56996,56844,45.41942106108619
10,10,10,56932.0,15,56984,56840,45.755561722826926
0,0,5,56868.26666666667,15,56917,56812,41.72095510936934
0,5,5,56868.26666666667,15,56917,56812,41.72095510936934
5,5,5,56868.26666666667,15,56917,56812,41.72095510936934
10,10,15,56854.53333333333,15,56905,56795,36.38262274898845
5,5,15,56852.4,15,56901,56791,35.50613629058559
5,10,15,56852.4,15,56901,56791,35.50613629058559
10,15,15,56844.53333333333,15,56895,56785,36.38262274898845
0,5,15,56842.4,15,56891,56781,35.50613629058559
0,10,15,56842.4,15,56891,56781,35.50613629058559
5,15,15,56842.4,15,56891,56781,35.50613629058559
15,15,15,56836.8,15,56894,56800,41.57815360430231
0,15,15,56832.4,15,56881,56771,35.50613629058559
0,0,15,56823.6,15,56872,56762,35.409441840115946
0,0,0,56616.6,15,56684,56525,57.87153260208552
