label,horizon,hedge_a,intercept_b,hedge_r2,n,alpha,beta,corr,t_beta,r2,rmse,mae,hit_rate,mean_abs_spread,mean_abs_future_change,mean_reversion_score
day_all,1,0.1977846606480169,8952.426958540354,0.009366137872520164,29997,0.00018650737643938407,-0.001906424015117186,-0.030850997818338163,-5.345648811495964,0.0009517840663871846,1.9633565619745146,1.5523771902041734,0.4814148081474814,25.879102591899926,1.5514570495720335,0.001906424015117186
day_all,5,0.1977846606480169,8952.426958540354,0.009366137872520164,29985,0.0004982213847317274,-0.008919400431651165,-0.06669074640839327,-11.57366935045424,0.00444765565650862,4.242263485102134,3.3792624547987735,0.5059863264965816,25.880733969561867,3.3838248842561605,0.008919400431651165
day_all,10,0.1977846606480169,8952.426958540354,0.009366137872520164,29970,0.0018242360314609434,-0.01752989559469511,-0.09359425526723404,-16.273787402948493,0.008759884619028213,5.9290446108845645,4.731748095094488,0.5150817484150817,25.884367272322653,4.745383914376784,0.01752989559469511
day_all,30,0.1977846606480169,8952.426958540354,0.009366137872520164,29910,0.00894522226107153,-0.05072012248898362,-0.15958117160295968,-27.956118385918007,0.025466150330173187,9.982889450615476,8.052169985991414,0.5394182547642928,25.90156109567374,8.150640592935224,0.05072012248898362
day_all,50,0.1977846606480169,8952.426958540354,0.009366137872520164,29850,0.022629079624766055,-0.08275247116697086,-0.20392271917166818,-35.98705532883112,0.04158447539436716,12.64763033458459,10.218443886413858,0.5514572864321609,25.914839217038217,10.430172728845873,0.08275247116697086
day_all,100,0.1977846606480169,8952.426958540354,0.009366137872520164,29700,0.10918810640493604,-0.15805796217215265,-0.2822339534033507,-50.69881038661249,0.07965600445368459,17.121072035983758,13.769362207589225,0.5713131313131313,25.93807896965863,14.345678926406675,0.15805796217215265
day_all,150,0.1977846606480169,8952.426958540354,0.009366137872520164,29550,0.1385112651827667,-0.2205327071912991,-0.3337802408931869,-60.86586168089899,0.11140924921071393,19.877711485195384,15.920124056197926,0.585989847715736,25.994007929522457,17.001881477296028,0.2205327071912991
day_all,200,0.1977846606480169,8952.426958540354,0.009366137872520164,29400,0.1458078122395539,-0.273911263328873,-0.3729117111259704,-68.90952642208474,0.1390631442948994,21.798203540044145,17.663852346246504,0.5937755102040816,26.07326273891153,19.032431656566896,0.273911263328873
day_all,300,0.1977846606480169,8952.426958540354,0.009366137872520164,29100,0.296361725070868,-0.3306662832242147,-0.40983007917155395,-76.64140860725702,0.1679606937937621,23.618522705015813,18.911767053033792,0.6076288659793815,26.19994713693353,20.597958491369898,0.3306662832242147
day_all,400,0.1977846606480169,8952.426958540354,0.009366137872520164,28800,0.5666094469681258,-0.39940046867177253,-0.4497179770757636,-85.44506556854236,0.2022462589051176,25.50827319712491,20.375200763678304,0.6219444444444444,26.24827688114702,22.478497438792523,0.39940046867177253
day_all,500,0.1977846606480169,8952.426958540354,0.009366137872520164,28500,0.8037286681572235,-0.4629207771416514,-0.4828728997901312,-93.08708062779667,0.2331662373517297,27.038731592261474,21.438568421241087,0.6523508771929825,26.287227398098217,24.377627178302934,0.4629207771416514
day_all,600,0.1977846606480169,8952.426958540354,0.009366137872520164,28200,1.1075573087681936,-0.521567263880618,-0.514096226365163,-100.64719937379853,0.2642949299629014,28.127216765232717,22.370713226889404,0.6664184397163121,26.4013099702867,26.003275371585094,0.521567263880618
day_all,700,0.1977846606480169,8952.426958540354,0.009366137872520164,27900,1.291269067550462,-0.5954726902692673,-0.5499885539716928,-109.99277542379323,0.3024874094998742,29.3515433562969,23.381323226455894,0.6775627240143369,26.549679267507816,27.934206623855893,0.5954726902692673
