timestamp,bidPrice,askPrice,transportFees,exportTariff,importTariff,sugarPrice,sunlightIndex,
0,627,628.5,1,9,-3,200,60,627.75
100,630,631.5,1,9,-3,200.0984454,60,630.75
200,630,631.5,1,9,-3,200.1039148,60,630.75
300,632,633.5,1,9,-3,200.3524618,60.01,632.75
400,630.5,632,1,9,-3,200.2015446,60.01,631.25
500,634,635.5,1,9,-3,200.5331862,60.01,634.75
600,633.5,635,1,9,-3,200.5273365,60.02,634.25
700,632.5,634,1,9,-3,200.8403459,60.02,633.25
800,634,635.5,1,9,-3,200.9150882,60.02,634.75
900,632.5,634,1,9,-3,200.6624438,60.02,633.25
1000,633,634.5,1,9,-3,200.5044354,60.02,633.75
1100,634.5,636,1,9,-3,200.6643695,60.03,635.25
1200,634.5,636,1,9,-3,200.8335424,60.03,635.25
1300,632.5,634,1,9.5,-3,200.701769,60.03,633.25
1400,633.5,635,1,9.5,-3,200.9650645,60.04,634.25
1500,634.5,636,1,9.5,-3,200.9915366,60.04,635.25
1600,636.5,638,1,9.5,-3,201.226257,60.04,637.25
1700,641.5,643,1,9.5,-3,201.3688569,60.04,642.25
1800,643,644.5,1,9.5,-3,201.4394136,60.04,643.75
1900,642.5,644,1,9.5,-3,201.1060397,60.05,643.25
2000,644,645.5,1,9.5,-3,201.0934547,60.05,644.75
2100,643.5,645,1,9.5,-3,201.078263,60.05,644.25
2200,644,645.5,1,9.5,-3,200.8993863,60.06,644.75
2300,643.5,645,1,9.5,-3,200.804399,60.06,644.25
2400,646,647.5,1,9.5,-3,200.8253301,60.06,646.75
2500,650.5,652,1,9.5,-3,201.1971955,60.06,651.25
2600,652.5,654,1,9.5,-3,201.2758462,60.06,653.25
2700,652.5,654,1,9.5,-3,201.4289758,60.07,653.25
2800,656,657.5,1,9.5,-3,201.7071217,60.07,656.75
2900,660,661.5,1,9.5,-3,201.9814593,60.07,660.75
3000,655,656.5,1,9.5,-3,201.4816004,60.08,655.75
3100,655,656.5,1,9.5,-3,201.4333422,60.08,655.75
3200,656.5,658,1,9.5,-3,201.5124598,60.08,657.25
3300,659,660.5,1,9.5,-3,201.5831013,60.08,659.75
3400,663,664.5,1,9.5,-3,201.6993779,60.08,663.75
3500,665,666.5,1,9.5,-3,201.9533945,60.09,665.75
3600,664.5,666,1,9.5,-3,201.9074566,60.09,665.25
3700,667,668.5,1,9.5,-3,201.8901794,60.09,667.75
3800,665,666.5,1,9.5,-3,201.550519,60.1,665.75
3900,666,667.5,1,9.5,-3,201.553468,60.1,666.75
4000,671.5,673,1,9.5,-3,202.0029105,60.1,672.25
4100,673.5,675,1,9.5,-3,202.1259144,60.1,674.25
4200,673,674.5,1,9.5,-3,202.1702052,60.1,673.75
4300,670,671.5,1,9.5,-3,202.0088117,60.11,670.75
4400,673,674.5,1,9.5,-3,202.2724053,60.11,673.75
4500,671,672.5,1,9.5,-3,202.3126872,60.11,671.75
4600,671,672.5,1,9.5,-3,202.0938284,60.12,671.75
4700,672.5,674,1,9.5,-3,202.3337656,60.12,673.25
4800,672.5,674,1,9.5,-3,202.7305019,60.12,673.25
4900,672.5,674.5,1,9.5,-3,202.5743672,60.12,673.5
5000,669,670.5,1,9.5,-3,202.4911715,60.12,669.75
5100,668.5,670,1,9.5,-3,202.3493148,60.13,669.25
5200,668.5,670,1,9.5,-3,202.217117,60.13,669.25
5300,670.5,672,1,9.5,-3,202.3675461,60.13,671.25
5400,668.5,670,1,9.5,-3,202.338228,60.14,669.25
5500,668.5,670,1,9.5,-3,202.1885415,60.14,669.25
5600,671,672.5,1,9.5,-3,202.2403604,60.14,671.75
5700,670,671.5,1,9.5,-3,202.2203605,60.14,670.75
5800,669,670.5,1,9.5,-3,202.0049668,60.14,669.75
5900,671,672.5,1,9.5,-3,202.1532421,60.15,671.75
6000,669.5,671,1,9.5,-3,202.0633821,60.15,670.25
6100,670.5,672,1,9.5,-3,202.1118885,60.15,671.25
6200,669.5,671,1,9.5,-3,201.916647,60.16,670.25
6300,666.5,668,1,9.5,-3,201.9093124,60.16,667.25
6400,666,667.5,1,9.5,-3,201.8592995,60.16,666.75
6500,664,665.5,1,9.5,-3,201.8242527,60.16,664.75
6600,661.5,663,1,9.5,-3,201.7812087,60.16,662.25
6700,657.5,659,1,9.5,-3,201.7163404,60.17,658.25
6800,659.5,661,1,9.5,-3,202.0199588,60.17,660.25
6900,660.5,662,1,9.5,-3,202.1007339,60.17,661.25
7000,658,659.5,1,9.5,-3,202.1054599,60.18,658.75
7100,657,658.5,1,9.5,-3,201.953379,60.18,657.75
7200,654.5,656,1,9.5,-3,201.7121,60.18,655.25
7300,653.5,655,1,9.5,-3,201.6999451,60.18,654.25
7400,651,652.5,1,9.5,-3,201.60404,60.18,651.75
7500,653,654.5,1,9.5,-3,201.7535245,60.19,653.75
7600,651.5,653,1,9.5,-3,201.6761958,60.19,652.25
7700,651.5,653,1,9.5,-3,201.6195278,60.19,652.25
7800,652,653.5,1,9.5,-3,201.8175127,60.2,652.75
7900,649,650.5,1,9.5,-3,201.7441317,60.2,649.75
8000,645.5,647,1,9.5,-3,201.6919248,60.2,646.25
8100,648,649.5,1,9.5,-3,201.8282212,60.2,648.75
8200,643.5,645,1,9.5,-3,201.5566733,60.2,644.25
8300,648,649.5,1,9.5,-3,201.7614683,60.21,648.75
8400,646.5,648,1,9.5,-3,201.6277673,60.21,647.25
8500,643,644.5,1,9.5,-3,201.4650274,60.21,643.75
8600,639.5,641,1,9.5,-3,201.4397834,60.22,640.25
8700,639.5,641,1,9.5,-3,201.397478,60.22,640.25
8800,636.5,638,1,9.5,-3,201.0821303,60.22,637.25
8900,636,637.5,1,9.5,-3,200.9042339,60.22,636.75
9000,635,636.5,1,9.5,-3,200.7670526,60.22,635.75
9100,636.5,638,1,9.5,-3,200.8964586,60.23,637.25
9200,637,638.5,1,9.5,-3,200.9502622,60.23,637.75
9300,636.5,638,1,9.5,-3,200.8875582,60.23,637.25
9400,637,638.5,1,9.5,-3,201.0662172,60.24,637.75
9500,637,638.5,1,9.5,-3,201.3512244,60.24,637.75
9600,633,634.5,1,9.5,-3,201.030677,60.24,633.75
9700,630.5,632,1,9.5,-3,200.774187,60.24,631.25
9800,632,633.5,1,9.5,-3,200.7280403,60.24,632.75
9900,627.5,629,1,9.5,-3,200.5391621,60.25,628.25
10000,627.5,629,1,9.5,-3,200.5162913,60.25,628.25
10100,627,628.5,1,9.5,-3,200.2698192,60.25,627.75
10200,625.5,627,1,9.5,-3,200.1148064,60.26,626.25
10300,624,625.5,1,9.5,-3,200.1245438,60.26,624.75
10400,628.5,630,1,9.5,-3,200.2643671,60.26,629.25
10500,625,626.5,1,9.5,-3,199.8987342,60.26,625.75
