product,ema_window,horizon,bucket,residual_mean,future_change_mean,future_change_median,count
VEV_5000,15,1,0,-0.5444713040298692,0.4783865063324403,0.46043434015973606,6000
VEV_5000,15,1,1,-0.20442955451964817,0.18968833919867126,0.0455674260974773,5999
VEV_5000,15,1,2,-0.02877483768220159,0.0411238308215117,0.0003879555570165498,6000
VEV_5000,15,1,3,0.1523332957469576,-0.1404763850578964,-0.045590782927320106,5999
VEV_5000,15,1,4,0.6247289988942064,-0.5689309710267464,-0.47941725539430985,6000
VEV_5000,20,1,0,-0.5377851413003952,0.4831893566523004,0.46225532841936,6000
VEV_5000,20,1,1,-0.20306071994743358,0.19062842861098206,0.04574597932605684,5999
VEV_5000,20,1,2,-0.02927009476951848,0.04022038187585607,0.0004092027384103164,6000
VEV_5000,20,1,3,0.15021469461543108,-0.136529153095784,-0.045702390540100196,5999
VEV_5000,20,1,4,0.6191120457117824,-0.5777168792218116,-0.486045590660524,6000
VEV_5000,25,1,0,-0.534366532089191,0.48953837928414307,0.46381315108283155,6000
VEV_5000,25,1,1,-0.20186309738809732,0.18870028426328678,0.04547346395793281,5999
VEV_5000,25,1,2,-0.02967036001188067,0.03867945863833635,0.0004169329845353925,6000
VEV_5000,25,1,3,0.14886618245225278,-0.1373824263598145,-0.046371133292268496,5999
VEV_5000,25,1,4,0.6160473156986656,-0.5797440245740106,-0.49698271265742733,6000
VEV_5000,30,1,0,-0.5324789847678058,0.49114126552328313,0.4642928228659003,6000
VEV_5000,30,1,1,-0.20098151314755822,0.18690061297519722,0.0454013794133061,5999
VEV_5000,30,1,2,-0.02999912811038593,0.03998473856703807,0.00042737885041795043,6000
VEV_5000,30,1,3,0.14805654591079198,-0.13732919720489428,-0.0460468566488999,5999
VEV_5000,30,1,4,0.6141993511688342,-0.580906039682372,-0.4979670368261394,6000
VEV_5000,35,1,0,-0.5313324093458472,0.4930544812137902,0.4646962976148643,6000
VEV_5000,35,1,1,-0.2004448411695459,0.1870510112564928,0.045431582804667414,5999
VEV_5000,35,1,2,-0.03033649571479866,0.03801625653309156,0.00040133407719620054,6000
VEV_5000,35,1,3,0.1476239551020267,-0.1364773000318568,-0.046481357767333975,5999
