product,day,rolling_window,horizon,n,alpha,beta,corr,t_beta,r2,rmse,mae,hit_rate,mean_abs_residual,mean_abs_future_change,mean_reversion_score
HYDROGEL_PACK,day_all,10,1,29970,2.7994953018364874e-05,-0.014642386421644784,-0.023870634010302424,-4.1334872415584965,0.0005698071680538819,1.9552865845023377,1.5301547138857965,0.4102339673455647,2.5432165498832133,1.5235902569235902,0.014642386421644784
HYDROGEL_PACK,day_all,20,1,29940,0.0001926160197048931,-0.009231701835242813,-0.021868570755387392,-3.784736637408596,0.000478234386883436,1.955480804591409,1.5297317201393563,0.40969222010114204,3.7089971609886407,1.5236806947227788,0.009231701835242813
HYDROGEL_PACK,day_all,30,1,29910,0.00026909828790732125,-0.006621804851312578,-0.019328676483420817,-3.343312283300664,0.0003735977346008834,1.955758507601186,1.5291969535335985,0.4077445697647177,4.5898478769642255,1.5237880307589435,0.006621804851312578
HYDROGEL_PACK,day_all,50,1,29850,-2.5223864614101898e-05,-0.004523269576610071,-0.0170736921330497,-2.950179046659875,0.00029151096305413127,1.9560064953871805,1.5285810496948413,0.4070858751759737,5.956939363484082,1.5238023450586264,0.004523269576610071
HYDROGEL_PACK,day_all,75,1,29775,0.0004510588245252386,-0.0034146031348185816,-0.01574354708102363,-2.7168628452532753,0.0002478592746923969,1.95568034209377,1.5276615410732042,0.4075928103477238,7.26867304785894,1.5232745591939547,0.0034146031348185816
HYDROGEL_PACK,day_all,100,1,29700,0.0006302002230985067,-0.0029096022994194175,-0.015405733887506929,-2.6552018153724735,0.00023733663661251736,1.9555414822712933,1.5273813306501391,0.40953182889861905,8.312942255892253,1.5231313131313131,0.0029096022994194175
HYDROGEL_PACK,day_all,125,1,29625,0.0006656986602705732,-0.0027946240971566663,-0.016399977497467817,-2.823034483138836,0.0002689592619173897,1.9555612864297047,1.5275227454981832,0.4095344204733448,9.215253603375524,1.5230379746835443,0.0027946240971566663
HYDROGEL_PACK,day_all,150,1,29550,-6.169481112401257e-05,-0.0026626153386949754,-0.016929877938227922,-2.9105838814265415,0.0002866207670032539,1.9559755622266033,1.5279781300018886,0.4108031272210377,9.987795939086297,1.523384094754653,0.0026626153386949754
HYDROGEL_PACK,day_all,175,1,29475,0.0006551255174896368,-0.002562805813733211,-0.017424544996234893,-2.991848219738432,0.000303614768325966,1.9561541749001359,1.5280278698007643,0.4103555917480999,10.687665091481886,1.5233248515691264,0.002562805813733211
HYDROGEL_PACK,day_all,200,1,29400,0.0004455836535151509,-0.0025408103455498415,-0.01827921574101736,-3.134649727680811,0.00033412972810664687,1.9560641875501779,1.5280350296770242,0.41143654114365413,11.312566071428572,1.5231292517006803,0.0025408103455498415
