combined_timestamp,day,timestamp,S,mid,intrinsic,time_value,raw_iv,tte_days
0,0,0,5250.0,1250.0,1250.0,0.0,0.15625096875,8.0
200,0,200,5250.0,1250.5,1250.0,0.5,0.6818879976008803,7.9998
300,0,300,5250.0,1250.5,1250.0,0.5,0.6818922584008071,7.9997
400,0,400,5250.0,1250.5,1250.0,0.5,0.6818965192007338,7.9996
500,0,500,5249.5,1249.5,1249.5,0.0,0.15625096875,7.999499999999999
600,0,600,5248.0,1248.5,1248.0,0.5,0.6810601358166515,7.9994
700,0,700,5248.0,1248.5,1248.0,0.5,0.6810643942882719,7.9993
800,0,800,5247.0,1247.5,1247.0,0.5,0.6806460233166713,7.999200000000001
900,0,900,5246.0,1246.5,1246.0,0.5,0.6802275336014658,7.9991
1200,0,1200,5248.0,1248.5,1248.0,0.5,0.6810856796614579,7.9988
1300,0,1300,5247.5,1247.5,1247.5,0.0,0.15625096875,7.9987
1400,0,1400,5247.0,1247.5,1247.0,0.5,0.6806715508633359,7.998600000000001
1500,0,1500,5246.0,1246.5,1246.0,0.5,0.6802530471782944,7.9985
1600,0,1600,5246.0,1246.5,1246.0,0.5,0.6802572986649973,7.9984
1700,0,1700,5246.0,1246.0,1246.0,0.0,0.15625096875,7.9982999999999995
1800,0,1800,5246.0,1246.5,1246.0,0.5,0.6802658039667091,7.9982
2000,0,2000,5247.0,1247.5,1247.0,0.5,0.6806970830666124,7.997999999999999
2400,0,2400,5248.0,1248.5,1248.0,0.5,0.6811367743359888,7.9976
2500,0,2500,5247.0,1247.5,1247.0,0.5,0.6807183591265744,7.9975
2700,0,2700,5246.0,1246.5,1246.0,0.5,0.6803040813168701,7.9973
2800,0,2800,5245.0,1245.5,1245.0,0.5,0.6798854286202467,7.9972
3100,0,3100,5246.0,1246.5,1246.0,0.5,0.6803210942485995,7.9969
3300,0,3300,5245.0,1245.5,1245.0,0.5,0.679906683725455,7.9967
3700,0,3700,5244.0,1244.5,1244.0,0.5,0.6795006457905817,7.9963
3800,0,3800,5244.0,1244.5,1244.0,0.5,0.6795048949489784,7.996199999999999
3900,0,3900,5243.0,1243.5,1243.0,0.5,0.6790859838103922,7.9961
4000,0,4000,5242.0,1242.0,1242.0,0.0,0.15625096875,7.996
4200,0,4200,5241.0,1241.0,1241.0,0.0,0.15625096875,7.9958
4300,0,4300,5241.0,1241.5,1241.0,0.5,0.678256289649364,7.9957
4400,0,4400,5239.0,1239.5,1239.0,0.5,0.677413391665175,7.9956000000000005
4500,0,4500,5239.0,1239.0,1239.0,0.0,0.15625096875,7.9955
4600,0,4600,5239.0,1239.5,1239.0,0.5,0.6774218643706034,7.9954
4700,0,4700,5238.0,1238.0,1238.0,0.0,0.15625096875,7.9953
4800,0,4800,5238.0,1238.5,1238.0,0.5,0.6770065877176374,7.9952
4900,0,4900,5237.0,1237.5,1237.0,0.5,0.6765869571325063,7.9951
5000,0,5000,5238.0,1238.5,1238.0,0.5,0.6770150557664536,7.995
5100,0,5100,5238.5,1238.5,1238.5,0.0,0.15625096875,7.994900000000001
5300,0,5300,5237.5,1237.5,1237.5,0.0,0.15625096875,7.9947
5500,0,5500,5238.5,1238.5,1238.5,0.0,0.15625096875,7.9945
5900,0,5900,5239.0,1239.5,1239.0,0.5,0.6774769427766503,7.9941
6000,0,6000,5239.0,1239.5,1239.0,0.5,0.6774811802935173,7.994
6300,0,6300,5236.0,1236.0,1236.0,0.0,0.15625096875,7.9937
6400,0,6400,5235.0,1235.5,1235.0,0.5,0.675802285424037,7.9936
6500,0,6500,5234.0,1234.5,1234.0,0.5,0.6753822636835027,7.9935
6700,0,6700,5234.5,1234.5,1234.5,0.0,0.15625096875,7.9933
6900,0,6900,5235.0,1235.5,1235.0,0.5,0.6758234217856407,7.993100000000001
7000,0,7000,5235.5,1235.5,1235.5,0.0,0.15625096875,7.993
7300,0,7300,5238.0,1238.0,1238.0,0.0,0.15625096875,7.9927
7500,0,7500,5237.0,1237.5,1237.0,0.5,0.676696997529302,7.992500000000001
7600,0,7600,5236.0,1236.0,1236.0,0.0,0.15625096875,7.9924
7700,0,7700,5236.5,1236.5,1236.5,0.0,0.15625096875,7.9923
7800,0,7800,5235.0,1235.0,1235.0,0.0,0.15625096875,7.9921999999999995
8000,0,8000,5233.0,1233.0,1233.0,0.0,0.15625096875,7.992
8100,0,8100,5232.0,1232.0,1232.0,0.0,0.15625096875,7.991899999999999
8200,0,8200,5231.5,1231.5,1231.5,0.0,0.15625096875,7.9918
8300,0,8300,5231.0,1231.0,1231.0,0.0,0.15625096875,7.9917
8400,0,8400,5230.0,1230.5,1230.0,0.5,0.6737642167622653,7.991599999999999
8500,0,8500,5230.5,1230.5,1230.5,0.0,0.15625096875,7.9915
8600,0,8600,5229.5,1229.5,1229.5,0.0,0.15625096875,7.9914
8700,0,8700,5230.0,1230.0,1230.0,0.0,0.15625096875,7.991300000000001
8800,0,8800,5231.0,1231.0,1231.0,0.0,0.15625096875,7.9912
8900,0,8900,5232.0,1232.0,1232.0,0.0,0.15625096875,7.9911
9000,0,9000,5232.0,1232.0,1232.0,0.0,0.15625096875,7.9910000000000005
9100,0,9100,5231.0,1231.0,1231.0,0.0,0.15625096875,7.9909
9300,0,9300,5231.5,1231.5,1231.5,0.0,0.15625096875,7.9907
9600,0,9600,5234.0,1234.5,1234.0,0.5,0.675513263490648,7.990399999999999
9700,0,9700,5233.0,1233.0,1233.0,0.0,0.15625096875,7.990300000000001
9800,0,9800,5232.0,1232.5,1232.0,0.5,0.6746727077822658,7.9902
9900,0,9900,5234.0,1234.0,1234.0,0.0,0.15625096875,7.990099999999999
10000,0,10000,5232.0,1232.5,1232.0,0.5,0.6746811502197162,7.990000000000001
10100,0,10100,5231.0,1231.5,1231.0,0.5,0.6742606884293532,7.9899
10200,0,10200,5232.5,1232.5,1232.5,0.0,0.15625096875,7.989799999999999
10300,0,10300,5233.0,1233.0,1233.0,0.0,0.15625096875,7.9897
10500,0,10500,5234.0,1234.5,1234.0,0.5,0.6755513103385182,7.989499999999999
10600,0,10600,5234.0,1234.0,1234.0,0.0,0.15625096875,7.9894
10700,0,10700,5234.0,1234.5,1234.0,0.5,0.6755597667458044,7.9893
10800,0,10800,5235.0,1235.5,1235.0,0.5,0.6759883566523115,7.9892
10900,0,10900,5235.5,1235.5,1235.5,0.0,0.15625096875,7.9891
11000,0,11000,5236.0,1236.0,1236.0,0.0,0.15625096875,7.989
11100,0,11100,5235.5,1235.5,1235.5,0.0,0.15625096875,7.9889
11200,0,11200,5235.0,1235.5,1235.0,0.5,0.6760052787801079,7.988800000000001
11300,0,11300,5235.0,1235.5,1235.0,0.5,0.676009509312057,7.9887
11600,0,11600,5236.5,1236.5,1236.5,0.0,0.15625096875,7.9884
11700,0,11700,5236.5,1236.5,1236.5,0.0,0.15625096875,7.988299999999999
11900,0,11900,5234.5,1234.5,1234.5,0.0,0.15625096875,7.9881
12000,0,12000,5237.0,1237.5,1237.0,0.5,0.6768875763579361,7.988
12100,0,12100,5238.5,1238.5,1238.5,0.0,0.15625096875,7.9879
12300,0,12300,5238.0,1238.5,1238.0,0.5,0.6773243502599309,7.9877
12500,0,12500,5237.5,1237.5,1237.5,0.0,0.15625096875,7.9875
12600,0,12600,5238.0,1238.5,1238.0,0.5,0.6773370674671438,7.9874
12700,0,12700,5239.0,1239.5,1239.0,0.5,0.6777652685465538,7.987299999999999
12800,0,12800,5238.0,1238.5,1238.0,0.5,0.6773455494857958,7.9872
12900,0,12900,5238.0,1238.5,1238.0,0.5,0.6773497893309686,7.9871
13000,0,13000,5238.0,1238.5,1238.0,0.5,0.6773540291761415,7.987000000000001
13100,0,13100,5239.5,1239.5,1239.5,0.0,0.15625096875,7.9869
13300,0,13300,5237.5,1237.5,1237.5,0.0,0.15625096875,7.986700000000001
13600,0,13600,5241.0,1241.0,1241.0,0.0,0.15625096875,7.986400000000001
13700,0,13700,5240.5,1240.5,1240.5,0.0,0.15625096875,7.9863
13900,0,13900,5240.0,1240.0,1240.0,0.0,0.15625096875,7.9860999999999995
