combined_timestamp,day,timestamp,product,S,K,voucher_price,tte_days,raw_iv,fair_iv,iv_residual
0,0,0,VEV_5000,5250.0,5000,257.0,8.0,0.23932914569995903,0.24109457801626996,-0.0017654323163109331
0,0,0,VEV_5100,5250.0,5100,171.5,8.0,0.24005218591246666,0.24132844986958005,-0.0012762639571133882
0,0,0,VEV_5200,5250.0,5200,101.5,8.0,0.23922856528308267,0.2422298855438105,-0.00300132026072783
0,0,0,VEV_5300,5250.0,5300,53.0,8.0,0.24195140029965975,0.24376077043657077,-0.001809370136911015
0,0,0,VEV_5400,5250.0,5400,23.0,8.0,0.23988127610335744,0.2458855971741723,-0.006004321070814861
0,0,0,VEV_5500,5250.0,5500,8.5,8.0,0.23983891213966002,0.24857124860415872,-0.008732336464498697
100,0,100,VEV_5000,5250.5,5000,258.0,7.9999,0.24387779496695902,0.24109512736778504,0.002782667599173977
100,0,100,VEV_5100,5250.5,5100,172.0,7.9999,0.24051519087332718,0.24132566357158564,-0.0008104726982584576
100,0,100,VEV_5200,5250.5,5200,102.5,7.9999,0.24156066952135372,0.2422238367717321,-0.000663167250378377
100,0,100,VEV_5300,5250.5,5300,53.0,7.9999,0.24128328999093393,0.24375152941942327,-0.0024682394284893383
100,0,100,VEV_5400,5250.5,5400,23.5,7.9999,0.2415756081507416,0.24587323136567038,-0.00429762321492877
100,0,100,VEV_5500,5250.5,5500,8.5,7.9999,0.23947568811361306,0.24855582284094663,-0.009080134727333572
200,0,200,VEV_5000,5250.5,5000,257.0,7.9998,0.23533585241324187,0.24109512915050257,-0.0057592767372607045
200,0,200,VEV_5100,5250.5,5100,172.0,7.9998,0.24051669415862914,0.2413256582788413,-0.0008089641202121689
200,0,200,VEV_5200,5250.5,5200,102.5,7.9998,0.24156217935501628,0.2422238329425537,-0.0006616535875374197
200,0,200,VEV_5300,5250.5,5300,53.0,7.9998,0.24128479800560748,0.2437515351089906,-0.002466737103383132
200,0,200,VEV_5400,5250.5,5400,23.5,7.9998,0.24157711805716375,0.24587325417832184,-0.0042961361211580895
200,0,200,VEV_5500,5250.5,5500,8.5,7.9998,0.23947718477779495,0.24855586996044238,-0.009078685182647428
300,0,300,VEV_5000,5250.5,5000,257.5,7.9997,0.2396813667340641,0.24109513093341833,-0.0014137641993542394
300,0,300,VEV_5100,5250.5,5100,172.0,7.9997,0.24051819744393121,0.2413256529860561,-0.0008074555421248852
300,0,300,VEV_5200,5250.5,5200,102.5,7.9997,0.24156368911591924,0.24222382911330995,-0.0006601399973907018
300,0,300,VEV_5300,5250.5,5300,53.0,7.9997,0.24128630609304053,0.24375154079867073,-0.0024652347056302037
300,0,300,VEV_5400,5250.5,5400,23.5,7.9997,0.24157862796358587,0.24587327699145542,-0.0042946490278695515
300,0,300,VEV_5500,5250.5,5500,8.5,7.9997,0.23947868158749602,0.24855591708097027,-0.00907723549347425
400,0,400,VEV_5000,5250.5,5000,257.0,7.9996,0.23533879422783613,0.24109513271653232,-0.005756338488696194
400,0,400,VEV_5100,5250.5,5100,172.0,7.9996,0.24051970072923323,0.24132564769322992,-0.0008059469639966899
400,0,400,VEV_5200,5250.5,5200,102.5,7.9996,0.24156519898596163,0.24222382528400083,-0.0006586262980391999
400,0,400,VEV_5300,5250.5,5300,53.0,7.9996,0.24128781425323315,0.2437515464884636,-0.0024637322352304425
400,0,400,VEV_5400,5250.5,5400,23.5,7.9996,0.24158013787000793,0.2458732998050711,-0.004293161935063183
400,0,400,VEV_5500,5250.5,5500,8.5,7.9996,0.23948017839719704,0.24855596420253034,-0.009075785805333303
500,0,500,VEV_5000,5249.5,5000,257.0,7.999499999999999,0.24318079154528768,0.24109405477320608,0.002086736772081599
500,0,500,VEV_5100,5249.5,5100,171.5,7.999499999999999,0.24187092967973248,0.24133122055543774,0.0005397091242947405
500,0,500,VEV_5200,5249.5,5200,101.5,7.999499999999999,0.24026513685109846,0.242235928203953,-0.0019707913528545506
500,0,500,VEV_5300,5249.5,5300,52.0,7.999499999999999,0.23929949385030516,0.24377006316017827,-0.004470569309873107
500,0,500,VEV_5400,5249.5,5400,23.0,7.999499999999999,0.24036573909584336,0.2458981181211431,-0.0055323790252997385
500,0,500,VEV_5500,5249.5,5500,8.5,7.999499999999999,0.2402110604169741,0.24858697602843388,-0.008375915611459783
600,0,600,VEV_5000,5248.5,5000,256.0,7.9994,0.24247861069873267,0.24109304046528568,0.0013855702334469866
600,0,600,VEV_5100,5248.5,5100,170.5,7.9994,0.24094380457221093,0.24133685848769718,-0.0003930539154862467
600,0,600,VEV_5200,5248.5,5200,100.5,7.9994,0.23896113809653535,0.24224809760095367,-0.0032869595044183186
600,0,600,VEV_5300,5248.5,5300,52.0,7.9994,0.24063235646847012,0.2437886476893389,-0.0031562912208687732
600,0,600,VEV_5400,5248.5,5400,23.0,7.9994,0.24132044451554072,0.24592300564944963,-0.004602561133908917
600,0,600,VEV_5500,5248.5,5500,8.5,7.9994,0.2409416353914013,0.24861805839668827,-0.007676423005286981
700,0,700,VEV_5000,5248.5,5000,256.0,7.9993,0.2424801264259197,0.24109304203120613,0.001387084394713578
700,0,700,VEV_5100,5248.5,5100,170.5,7.9993,0.24094531062237634,0.24133685314343958,-0.00039154252106324283
700,0,700,VEV_5200,5248.5,5200,100.5,7.9993,0.23896263170481574,0.2422480938833865,-0.0032854621785707583
700,0,700,VEV_5300,5248.5,5300,52.0,7.9993,0.2406338605541273,0.24378865365154517,-0.0031547930974178684
700,0,700,VEV_5400,5248.5,5400,23.0,7.9993,0.24132195296677159,0.24592302889373058,-0.004601075926958992
700,0,700,VEV_5500,5248.5,5500,8.5,7.9993,0.24094314151432616,0.248618106104824,-0.007674964590497824
