combined_timestamp,day,timestamp,underlying_mid,voucher_mid,diff
0,0,0,5250.0,750.0,4500.0
100,0,100,5250.5,751.0,4499.5
200,0,200,5250.5,750.0,4500.5
300,0,300,5250.5,750.0,4500.5
400,0,400,5250.5,750.0,4500.5
500,0,500,5249.5,749.0,4500.5
600,0,600,5248.5,748.0,4500.5
700,0,700,5248.5,748.0,4500.5
800,0,800,5247.5,747.0,4500.5
900,0,900,5246.5,746.0,4500.5
1000,0,1000,5246.5,747.0,4499.5
1100,0,1100,5248.5,749.0,4499.5
1200,0,1200,5248.5,748.0,4500.5
1300,0,1300,5247.5,747.5,4500.0
1400,0,1400,5247.5,747.0,4500.5
1500,0,1500,5246.5,746.0,4500.5
1600,0,1600,5246.0,746.0,4500.0
1700,0,1700,5246.0,746.0,4500.0
1800,0,1800,5246.5,746.0,4500.5
1900,0,1900,5247.0,747.0,4500.0
2000,0,2000,5247.5,747.0,4500.5
2100,0,2100,5247.0,747.0,4500.0
2200,0,2200,5247.0,747.0,4500.0
2300,0,2300,5247.5,748.0,4499.5
2400,0,2400,5248.5,748.0,4500.5
2500,0,2500,5247.5,747.0,4500.5
2600,0,2600,5246.5,747.0,4499.5
2700,0,2700,5246.5,746.0,4500.5
2800,0,2800,5245.5,745.0,4500.5
2900,0,2900,5246.5,747.0,4499.5
3000,0,3000,5245.5,746.0,4499.5
3100,0,3100,5246.5,746.0,4500.5
3200,0,3200,5245.5,746.0,4499.5
3300,0,3300,5245.0,745.0,4500.0
3400,0,3400,5244.5,745.0,4499.5
3500,0,3500,5244.5,745.0,4499.5
3600,0,3600,5243.5,744.0,4499.5
3700,0,3700,5244.5,744.0,4500.5
3800,0,3800,5244.5,744.0,4500.5
3900,0,3900,5243.0,743.0,4500.0
4000,0,4000,5242.0,742.0,4500.0
4100,0,4100,5241.5,742.0,4499.5
4200,0,4200,5241.0,741.0,4500.0
4300,0,4300,5241.5,741.0,4500.5
4400,0,4400,5239.5,739.0,4500.5
4500,0,4500,5239.0,739.0,4500.0
4600,0,4600,5239.5,739.0,4500.5
4700,0,4700,5238.0,738.0,4500.0
4800,0,4800,5238.5,738.0,4500.5
4900,0,4900,5237.5,737.0,4500.5
5000,0,5000,5238.5,738.0,4500.5
5100,0,5100,5238.5,738.5,4500.0
5200,0,5200,5238.5,739.0,4499.5
5300,0,5300,5237.5,737.5,4500.0
5400,0,5400,5237.5,738.0,4499.5
5500,0,5500,5238.5,738.5,4500.0
5600,0,5600,5237.5,738.0,4499.5
5700,0,5700,5237.5,738.0,4499.5
5800,0,5800,5237.5,738.0,4499.5
5900,0,5900,5239.5,739.0,4500.5
6000,0,6000,5239.5,739.0,4500.5
6100,0,6100,5238.5,739.0,4499.5
6200,0,6200,5236.5,737.0,4499.5
6300,0,6300,5236.0,736.0,4500.0
6400,0,6400,5235.5,735.0,4500.5
6500,0,6500,5234.5,734.0,4500.5
6600,0,6600,5234.5,734.5,4500.0
6700,0,6700,5234.5,734.5,4500.0
6800,0,6800,5234.5,735.0,4499.5
6900,0,6900,5235.5,735.0,4500.5
7000,0,7000,5235.5,735.5,4500.0
7100,0,7100,5234.5,735.0,4499.5
7200,0,7200,5235.5,736.0,4499.5
7300,0,7300,5238.0,738.0,4500.0
7400,0,7400,5237.5,738.0,4499.5
7500,0,7500,5237.5,737.0,4500.5
7600,0,7600,5236.0,736.0,4500.0
7700,0,7700,5236.5,736.5,4500.0
7800,0,7800,5235.0,735.0,4500.0
7900,0,7900,5233.5,734.0,4499.5
8000,0,8000,5233.5,733.0,4500.5
8100,0,8100,5232.0,732.0,4500.0
8200,0,8200,5231.5,731.5,4500.0
8300,0,8300,5231.0,731.0,4500.0
8400,0,8400,5230.5,730.0,4500.5
8500,0,8500,5230.5,730.5,4500.0
8600,0,8600,5229.5,729.5,4500.0
8700,0,8700,5230.0,730.0,4500.0
8800,0,8800,5230.5,731.0,4499.5
8900,0,8900,5232.5,732.0,4500.5
9000,0,9000,5232.0,732.0,4500.0
9100,0,9100,5230.5,731.0,4499.5
9200,0,9200,5231.5,732.0,4499.5
9300,0,9300,5231.5,731.5,4500.0
9400,0,9400,5231.5,732.0,4499.5
9500,0,9500,5233.5,734.0,4499.5
9600,0,9600,5234.5,734.0,4500.5
9700,0,9700,5233.0,733.0,4500.0
9800,0,9800,5232.5,732.5,4500.0
9900,0,9900,5233.5,734.0,4499.5
10000,0,10000,5232.5,732.0,4500.5
10100,0,10100,5231.5,731.5,4500.0
10200,0,10200,5232.5,732.5,4500.0
10300,0,10300,5233.0,733.0,4500.0
10400,0,10400,5233.5,734.0,4499.5
10500,0,10500,5234.5,734.0,4500.5
10600,0,10600,5234.0,734.0,4500.0
10700,0,10700,5234.5,734.0,4500.5
10800,0,10800,5235.5,735.0,4500.5
10900,0,10900,5235.5,735.5,4500.0
11000,0,11000,5236.0,736.0,4500.0
11100,0,11100,5235.5,735.5,4500.0
11200,0,11200,5235.5,735.0,4500.5
11300,0,11300,5235.5,735.0,4500.5
11400,0,11400,5234.5,735.0,4499.5
11500,0,11500,5235.5,736.0,4499.5
11600,0,11600,5236.5,736.5,4500.0
11700,0,11700,5236.5,736.5,4500.0
11800,0,11800,5235.5,735.5,4500.0
11900,0,11900,5234.5,734.5,4500.0
12000,0,12000,5237.5,737.0,4500.5
12100,0,12100,5238.5,738.5,4500.0
12200,0,12200,5238.5,739.0,4499.5
12300,0,12300,5238.5,738.0,4500.5
12400,0,12400,5238.5,739.0,4499.5
12500,0,12500,5237.5,737.5,4500.0
12600,0,12600,5238.5,738.0,4500.5
12700,0,12700,5239.5,739.0,4500.5
12800,0,12800,5238.5,738.0,4500.5
12900,0,12900,5238.5,738.0,4500.5
13000,0,13000,5238.5,738.0,4500.5
13100,0,13100,5239.5,739.5,4500.0
13200,0,13200,5239.5,740.0,4499.5
13300,0,13300,5237.5,737.5,4500.0
13400,0,13400,5240.5,741.0,4499.5
13500,0,13500,5242.5,743.0,4499.5
13600,0,13600,5241.0,741.0,4500.0
13700,0,13700,5240.5,741.0,4499.5
13800,0,13800,5240.5,741.0,4499.5
13900,0,13900,5240.0,740.0,4500.0
14000,0,14000,5240.5,740.0,4500.5
14100,0,14100,5241.0,741.0,4500.0
14200,0,14200,5241.5,741.0,4500.5
14300,0,14300,5241.0,741.0,4500.0
14400,0,14400,5241.5,741.0,4500.5
14500,0,14500,5242.5,742.0,4500.5
14600,0,14600,5243.0,743.0,4500.0
14700,0,14700,5242.5,743.0,4499.5
14800,0,14800,5242.5,742.0,4500.5
14900,0,14900,5241.5,741.0,4500.5
15000,0,15000,5241.5,741.0,4500.5
15100,0,15100,5242.5,743.0,4499.5
15200,0,15200,5243.5,744.0,4499.5
15300,0,15300,5243.5,743.0,4500.5
15400,0,15400,5242.5,742.5,4500.0
15500,0,15500,5243.5,744.0,4499.5
15600,0,15600,5243.5,743.0,4500.5
15700,0,15700,5243.5,744.0,4499.5
15800,0,15800,5243.5,744.0,4499.5
15900,0,15900,5242.5,743.0,4499.5
16000,0,16000,5242.5,742.0,4500.5
16100,0,16100,5241.5,742.0,4499.5
16200,0,16200,5241.0,741.0,4500.0
16300,0,16300,5241.5,742.0,4499.5
16400,0,16400,5242.5,743.0,4499.5
16500,0,16500,5242.0,742.0,4500.0
16600,0,16600,5242.5,742.0,4500.5
16700,0,16700,5241.5,742.0,4499.5
16800,0,16800,5240.5,740.0,4500.5
16900,0,16900,5241.0,741.0,4500.0
17000,0,17000,5239.5,740.0,4499.5
17100,0,17100,5240.5,740.0,4500.5
17200,0,17200,5241.0,741.0,4500.0
17300,0,17300,5241.5,742.0,4499.5
17400,0,17400,5240.5,741.0,4499.5
17500,0,17500,5240.5,740.0,4500.5
17600,0,17600,5239.5,740.0,4499.5
17700,0,17700,5240.5,741.0,4499.5
17800,0,17800,5240.0,740.0,4500.0
17900,0,17900,5239.5,739.5,4500.0
18000,0,18000,5238.5,738.0,4500.5
18100,0,18100,5238.0,738.0,4500.0
18200,0,18200,5238.5,738.0,4500.5
18300,0,18300,5237.5,737.5,4500.0
18400,0,18400,5237.5,737.5,4500.0
18500,0,18500,5238.0,737.0,4501.0
18600,0,18600,5237.0,737.0,4500.0
18700,0,18700,5236.5,736.0,4500.5
18800,0,18800,5237.5,737.5,4500.0
18900,0,18900,5236.5,737.0,4499.5
19000,0,19000,5236.5,736.5,4500.0
19100,0,19100,5238.5,739.0,4499.5
19200,0,19200,5239.0,739.0,4500.0
19300,0,19300,5238.5,738.0,4500.5
19400,0,19400,5238.5,738.5,4500.0
19500,0,19500,5238.5,738.0,4500.5
19600,0,19600,5236.0,736.0,4500.0
19700,0,19700,5236.0,736.0,4500.0
19800,0,19800,5236.5,736.5,4500.0
19900,0,19900,5238.5,738.0,4500.5
20000,0,20000,5239.5,740.0,4499.5
20100,0,20100,5237.5,738.0,4499.5
