
3;999900;HYDROGEL_PACK;9993;12;9991;23;;;10009;12;10012;23;;;10001.0;0.0
3;999900;VELVETFRUIT_EXTRACT;5229;61;;;;;5235;61;;;;;5232.0;0.0
3;999900;VEV_4000;1222;7;1219;23;;;1242;7;1245;23;;;1232.0;1936.59375
3;999900;VEV_4500;724;6;722;21;;;740;6;742;21;;;732.0;1291.578125
3;999900;VEV_5000;231;27;;;;;237;27;;;;;234.0;81.439453125
3;999900;VEV_5100;140;6;139;21;;;143;6;144;21;;;141.5;-485.59375
3;999900;VEV_5200;69;6;68;21;;;71;27;;;;;70.0;-711.2109375
3;999900;VEV_5300;25;24;;;;;27;24;;;;;26.0;-248.037841796875
3;999900;VEV_5400;5;24;;;;;6;24;;;;;5.5;0.0
3;999900;VEV_5500;1;24;;;;;2;24;;;;;1.5;-132.26739501953125
3;999900;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
3;999900;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0
