product,day,ema_window,horizon,n,alpha,beta,corr,t_beta,r2,rmse,mae,hit_rate,mean_abs_residual,mean_abs_future_change,mean_reversion_score
VELVETFRUIT_EXTRACT,day_all,10,1,29997,0.0016070211234186118,-0.02708196793214305,-0.03657768625164408,-6.339155208938096,0.0013379271315235863,0.9986507981075204,0.7690716963317875,0.3746082549843302,1.0757761012735148,0.7621595492882621,0.02708196793214305
VELVETFRUIT_EXTRACT,day_all,20,1,29997,0.0016087278177973835,-0.013018748685267775,-0.02615638664993562,-4.531591935766233,0.0006841565625809176,0.9989776262210369,0.7672796993234045,0.3741081549643262,1.5974153928079464,0.7621595492882621,0.013018748685267775
VELVETFRUIT_EXTRACT,day_all,30,1,29997,0.0016069401970098905,-0.008610187559205226,-0.02152863676801086,-3.7294228786625117,0.00046348220108893834,0.9990879199697197,0.7664405996849495,0.3720077348803094,1.9871090620054888,0.7621595492882621,0.008610187559205226
VELVETFRUIT_EXTRACT,day_all,50,1,29997,0.0016137271861461021,-0.005583930550831299,-0.01816605799550368,-3.1467105857574253,0.0003300056630959336,0.9991546260593088,0.7658243394620666,0.3708074948322998,2.5890427144353962,0.7621595492882621,0.005583930550831299
VELVETFRUIT_EXTRACT,day_all,75,1,29997,0.0016299226743531595,-0.0043215058683846175,-0.017156286638839568,-2.97174575407421,0.00029433817123403205,0.9991724504522699,0.7656536687683352,0.3700740148029606,3.1713431358803277,0.7621595492882621,0.0043215058683846175
VELVETFRUIT_EXTRACT,day_all,100,1,29997,0.0016448002246176447,-0.0037288744269665915,-0.016965844504012003,-2.938748551303934,0.00028783987973413083,0.999175697859751,0.7656309576570107,0.3680069347202774,3.650025085402587,0.7621595492882621,0.0037288744269665915
VELVETFRUIT_EXTRACT,day_all,125,1,29997,0.001656603181124655,-0.0033691971272722956,-0.01699319066097716,-2.943486698798441,0.0002887685288402997,0.9991752337842545,0.7656406442706887,0.36764019470560777,4.0563481752619905,0.7621595492882621,0.0033691971272722956
VELVETFRUIT_EXTRACT,day_all,150,1,29997,0.0016659881596723018,-0.0031224873359849215,-0.01710094522931489,-2.962156919997254,0.0002924423277360644,0.9991733978679783,0.7656632287973639,0.3676068547042742,4.408068823621687,0.7621595492882621,0.0031224873359849215
VELVETFRUIT_EXTRACT,day_all,175,1,29997,0.0016738760928106987,-0.0029417815284637386,-0.017249127040414515,-2.987831983396036,0.00029753238365626267,0.9991708541966297,0.7656926316464886,0.3670734146829366,4.719429982074268,0.7621595492882621,0.0029417815284637386
VELVETFRUIT_EXTRACT,day_all,200,1,29997,0.0016810218556842932,-0.0028039473757357656,-0.017422201291355133,-3.017820342276819,0.00030353309783648363,0.9991678554305443,0.7657251957532941,0.3675068347002734,5.0002045217682864,0.7621595492882621,0.0028039473757357656
VELVETFRUIT_EXTRACT,day_all,250,1,29997,0.0016950966873642093,-0.0026090784653181576,-0.01781273725824776,-3.0854890216944013,0.0003172936086314193,0.9991609787895693,0.7657942149205152,0.3677735547109422,5.487492640855114,0.7621595492882621,0.0026090784653181576
VELVETFRUIT_EXTRACT,day_all,300,1,29997,0.0017107194987222196,-0.002479731333390704,-0.018232608608722816,-3.158242258218072,0.0003324280166788762,0.9991534155061922,0.7658656183320913,0.3678402347136094,5.89604813611202,0.7621595492882621,0.002479731333390704
VELVETFRUIT_EXTRACT,day_0,10,1,9999,-0.0006476703914597401,-0.01852143572528169,-0.02542018825694757,-2.542459077708224,0.0006461859710187312,0.9949415139410294,0.7632308340542113,0.3704740948189638,1.089687821961568,0.7581758175817582,0.01852143572528169
VELVETFRUIT_EXTRACT,day_0,20,1,9999,-0.0006527451027276304,-0.0092894482042248,-0.0189546806744805,-1.8955242684042406,0.00035927991947182214,0.995084323350623,0.7620374839047446,0.368373674734947,1.6221459988628684,0.7581758175817582,0.0092894482042248
VELVETFRUIT_EXTRACT,day_0,30,1,9999,-0.0006547846758401891,-0.006271823492644307,-0.015918593509992952,-1.5918222521321932,0.00025340161933651295,0.9951370198069095,0.7614531119260898,0.36667333466693336,2.0232582435719424,0.7581758175817582,0.006271823492644307
VELVETFRUIT_EXTRACT,day_0,50,1,9999,-0.0006619562924101609,-0.004174659181425715,-0.01378985090314958,-1.3789093399606267,0.00019015998793114886,0.9951684943292896,0.7610361800468727,0.3674734946989398,2.642561955354175,0.7581758175817582,0.004174659181425715
VELVETFRUIT_EXTRACT,day_0,75,1,9999,-0.0006796250999896436,-0.003525248284465868,-0.014176602807851001,-1.4175900737888796,0.00020097606717184302,0.9951631113804661,0.7611135866375685,0.3661732346469294,3.2354036020130588,0.7581758175817582,0.003525248284465868
VELVETFRUIT_EXTRACT,day_0,100,1,9999,-0.0007043759751826327,-0.0033844597420466097,-0.015515678286583973,-1.5515218410598053,0.00024073627269294295,0.9951433232619132,0.7613843647546831,0.3631726345269054,3.7131644703846565,0.7581758175817582,0.0033844597420466097
VELVETFRUIT_EXTRACT,day_0,125,1,9999,-0.0007341743085471306,-0.0033578516401372763,-0.016952183027581526,-1.695207599862461,0.0002873765094009162,0.9951201105430274,0.76167251583727,0.3647729545909182,4.110478942611685,0.7581758175817582,0.0033578516401372763
VELVETFRUIT_EXTRACT,day_0,150,1,9999,-0.0007676904891932411,-0.0033514565109899657,-0.018248236883890056,-1.8248538060720056,0.00033299814937071126,0.9950974042530906,0.7619276314212131,0.36437287457491496,4.446861121956456,0.7581758175817582,0.0033514565109899657
VELVETFRUIT_EXTRACT,day_0,175,1,9999,-0.0008036989818996366,-0.003342513252150875,-0.019359722038814416,-1.9360446339088024,0.0003747988374203093,0.9950765992295508,0.7621431059853608,0.3647729545909182,4.739037672426534,0.7581758175817582,0.003342513252150875
VELVETFRUIT_EXTRACT,day_0,200,1,9999,-0.0008409858315143463,-0.0033268691583211254,-0.02029930914241073,-2.0300446969490027,0.000412061951659326,0.9950580522788975,0.7623238357902647,0.36637327465493097,4.998554126292064,0.7581758175817582,0.0033268691583211254
VELVETFRUIT_EXTRACT,day_0,250,1,9999,-0.0009151272142258937,-0.0032787901181412843,-0.021765031931107102,-2.176692321874384,0.0004737166149622052,0.9950273641758844,0.7626075943005686,0.3652730546109222,5.449576223270637,0.7581758175817582,0.0032787901181412843
VELVETFRUIT_EXTRACT,day_0,300,1,9999,-0.00098358115834319,-0.003217910128314084,-0.022829964052160496,-2.2832490306044892,0.0005212072586230354,0.995003725452178,0.7628104282174968,0.3644728945789158,5.8251232015167815,0.7581758175817582,0.003217910128314084
VELVETFRUIT_EXTRACT,day_1,10,1,9999,0.0023821673334661645,-0.03124904459876231,-0.041875534790604935,-4.190601147225491,0.0017535604139991001,0.9971327981649125,0.769935517913804,0.3765753150630126,1.0652698816141268,0.7622262226222623,0.03124904459876231
