0,453
1,125
2,84
3,52
4,27
5,129
6,27
7,31
8,30
9,12
10,249
11,53
12,29
13,17
14,5
15,137
16,35
17,22
18,23
19,13
20,281
21,78
22,44
23,33
24,22
25,172
26,63
27,54
28,22
29,14
30,242
31,57
32,42
33,68
34,99
34,1
35,155
36,184
37,118
38,75
39,37
40,227
41,139
42,119
42,1
43,89
44,40
45,100
46,69
47,42
48,20
49,14
50,86
51,62
52,56
53,40
54,22
55,33
56,21
57,17
58,17
59,4
60,30
61,14
61,1
62,3
63,7
64,8
65,9
66,5
67,4
68,3
69,3
70,8
71,9
72,2
74,1
75,1
76,1
77,2
78,1
79,1
80,4
81,2
85,1
90,1
91,1
100,2
